"game_date","game_id","team_home","team_away","period","clock","secs_game","event_num","msg_type","act_type","team_abb","poss_team","poss_home","poss_away","description","action_type","sub_type","and1","total_fta","team_ft","player_ft","player1_name","event_pts","score_home","score_away","poss_number","margin_start_poss","start_poss","pts_poss","ids_lineup_off","names_lineup_off","ids_lineup_def","names_lineup_def","garbage_time","id_player_off_pg","id_player_off_sg","id_player_off_sf","id_player_off_pf","id_player_off_c","id_player_def_pg","id_player_def_sg","id_player_def_sf","id_player_def_pf","id_player_def_c"
2026-04-19,"0042500101","DET","ORL",1,"08:47.00",193,44,3,12,"DET","DET",0,0,"T. Harris Free Throw 2 of 2 (2 PTS)","freethrow","2 of 2",NA,NA,NA,NA,"202699 Tobias Harris",1,5,8,13,NA,"08:50.00",2,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"08:40.00",200,45,1,1,"ORL","ORL",0,1,"P. Banchero 27' 3PT  (5 PTS) (J. Suggs 1 AST)","3pt","Jump Shot",NA,NA,NA,NA,"1631094 Paolo Banchero",3,5,11,14,3,"08:47.00",3,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"08:29.00",211,47,5,1,"DET","DET",1,0,"T. Harris bad pass TURNOVER (1 TO)","turnover","bad pass",NA,NA,NA,NA,"202699 Tobias Harris",0,5,11,15,-6,"08:40.00",0,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"08:29.00",211,48,95,0,"ORL","ORL",0,0,"J. Suggs STEAL (1 STL)","steal",NA,NA,NA,NA,NA,"1630591 Jalen Suggs",0,5,11,16,6,"08:29.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"08:27.00",213,49,1,50,"ORL","ORL",0,1,"J. Suggs running DUNK (8 PTS)","2pt","DUNK",NA,NA,NA,NA,"1630591 Jalen Suggs",2,5,13,16,NA,"08:29.00",2,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"08:15.00",225,51,2,1,"DET","DET",1,0,"MISS T. Harris 25' 3PT","3pt","Jump Shot",NA,NA,NA,NA,"202699 Tobias Harris",0,5,13,17,-8,"08:27.00",0,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"08:11.00",229,52,4,0,"ORL","ORL",0,0,"J. Suggs REBOUND (Off:0 Def:2)","rebound","defensive",NA,NA,NA,NA,"1630591 Jalen Suggs",0,5,13,18,8,"08:11.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"07:49.00",251,53,1,86,"ORL","ORL",0,1,"D. Bane 9' turnaround fadeaway Jump Shot (2 PTS)","2pt","Jump Shot",NA,NA,NA,NA,"1630217 Desmond Bane",2,5,15,18,NA,"08:11.00",2,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
2026-04-19,"0042500101","DET","ORL",1,"07:37.00",263,54,5,1,"DET","DET",1,0,"C. Cunningham bad pass TURNOVER (1 TO)","turnover","bad pass",NA,NA,NA,NA,"1630595 Cade Cunningham",0,5,15,19,-10,"07:49.00",0,"1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris","1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero",0,1630595,1641709,1629130,202699,1631105,1630591,1630217,1630532,1631094,1628976
2026-04-19,"0042500101","DET","ORL",1,"07:37.00",263,55,95,0,"ORL","ORL",0,0,"J. Suggs STEAL (2 STL)","steal",NA,NA,NA,NA,NA,"1630591 Jalen Suggs",0,5,15,20,10,"07:37.00",NA,"1628976, 1630217, 1630532, 1630591, 1631094","Wendell Carter Jr., Desmond Bane, Franz Wagner, Jalen Suggs, Paolo Banchero","1629130, 1630595, 1631105, 1641709, 202699","Duncan Robinson, Cade Cunningham, Jalen Duren, Ausar Thompson, Tobias Harris",0,1630591,1630217,1630532,1631094,1628976,1641709,1629130,1630595,202699,1631105
